meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.7092,0.0567,0.7274,0.0359,0.7014,0.0923,0.7587,0.1369,0.6173,0.0863,0.7393,0.0825,0.6452,0.0201,453.8000,70.1524,335.4000,37.9400,classifier,1000,10
0.7182,0.0587,0.7409,0.0366,0.7080,0.0962,0.7567,0.1434,0.6365,0.0956,0.7442,0.0851,0.6580,0.0249,422.2000,70.7994,308.2000,40.8823,classifier,1500,10
0.7223,0.0666,0.7497,0.0422,0.7036,0.0985,0.7520,0.1481,0.6507,0.0883,0.7464,0.0925,0.6651,0.0303,391.2000,68.3825,279.6000,40.8441,classifier,2000,10
0.7331,0.0639,0.7578,0.0488,0.7097,0.0788,0.7661,0.1404,0.6527,0.0885,0.7586,0.0918,0.6704,0.0287,359.2000,66.4030,251.8000,44.0245,classifier,2500,10
0.7464,0.0528,0.7832,0.0404,0.7124,0.0718,0.7695,0.1294,0.6745,0.1243,0.7718,0.0751,0.6804,0.0505,330.0000,65.9485,225.4000,44.3107,classifier,3000,10
0.7545,0.0622,0.7903,0.0366,0.7337,0.0981,0.7743,0.1516,0.6776,0.1382,0.7759,0.0875,0.6873,0.0596,301.0000,63.7150,204.2000,45.1327,classifier,3500,10
0.7768,0.0704,0.8104,0.0494,0.7626,0.1089,0.7969,0.1542,0.6947,0.1543,0.7970,0.0929,0.7082,0.0807,274.4000,61.7109,180.6000,44.5179,classifier,4000,10
0.7988,0.0539,0.8309,0.0580,0.7665,0.0529,0.8266,0.1130,0.7093,0.1737,0.8243,0.0682,0.7217,0.1026,246.4000,57.9400,157.8000,41.2766,classifier,4500,10
0.8025,0.0676,0.8287,0.0742,0.7541,0.0475,0.8413,0.1036,0.6982,0.1672,0.8325,0.0789,0.7148,0.1130,224.8000,52.9203,136.8000,44.3143,classifier,5000,10
0.7045,0.0565,0.7263,0.0392,0.6860,0.0840,0.7484,0.1276,0.6206,0.0765,0.7346,0.0806,0.6426,0.0187,221.2000,36.2293,162.6000,18.7147,classifier,1000,20
0.7107,0.0564,0.7331,0.0398,0.6909,0.0802,0.7564,0.1298,0.6214,0.0812,0.7415,0.0819,0.6450,0.0174,204.8000,36.0688,147.6000,19.0221,classifier,1500,20
0.7247,0.0583,0.7524,0.0376,0.7008,0.0817,0.7517,0.1357,0.6567,0.0868,0.7484,0.0844,0.6685,0.0245,190.6000,35.0291,137.0000,20.7846,classifier,2000,20
0.7190,0.0581,0.7449,0.0445,0.6911,0.0709,0.7586,0.1310,0.6276,0.0937,0.7489,0.0840,0.6475,0.0273,174.6000,33.5833,121.6000,21.9509,classifier,2500,20
0.7522,0.0544,0.7865,0.0388,0.7211,0.0765,0.7773,0.1277,0.6760,0.1267,0.7777,0.0747,0.6853,0.0577,160.6000,32.9460,109.2000,22.0762,classifier,3000,20
0.7615,0.0582,0.7913,0.0398,0.7430,0.0934,0.7923,0.1375,0.6661,0.1530,0.7867,0.0794,0.6848,0.0782,146.0000,32.7719,98.2000,23.2241,classifier,3500,20
0.7777,0.0761,0.8137,0.0604,0.7521,0.1061,0.7987,0.1444,0.7017,0.1524,0.8007,0.0914,0.7097,0.0934,132.4000,29.6554,84.8000,21.9399,classifier,4000,20
0.7827,0.0467,0.8170,0.0577,0.7312,0.0221,0.8154,0.1093,0.6845,0.1593,0.8124,0.0688,0.6955,0.0886,119.2000,27.0215,75.0000,22.1088,classifier,4500,20
0.8065,0.0723,0.8244,0.0877,0.7636,0.0461,0.8538,0.0938,0.6946,0.1553,0.8374,0.0836,0.7191,0.1077,107.8000,26.5737,65.2000,22.0127,classifier,5000,20
0.7000,0.0654,0.7207,0.0454,0.6891,0.1032,0.7457,0.1478,0.6094,0.0835,0.7295,0.0943,0.6343,0.0191,143.6000,23.7116,104.6000,12.7059,classifier,1000,30
0.7065,0.0520,0.7281,0.0373,0.6888,0.0809,0.7639,0.1253,0.5972,0.1123,0.7422,0.0738,0.6275,0.0494,133.8000,23.1983,96.0000,13.7840,classifier,1500,30
